------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.79597e-47,                0.005
         2.05749e-47,           0.00515625
         2.35524e-47,            0.0053125
         2.69411e-47,           0.00546875
         3.07963e-47,             0.005625
         3.51806e-47,           0.00578125
          4.0165e-47,            0.0059375
         4.58298e-47,           0.00609375
         5.22661e-47,              0.00625
         5.95768e-47,           0.00640625
         6.78786e-47,            0.0065625
         7.73036e-47,           0.00671875
          8.8001e-47,             0.006875
          1.0014e-46,           0.00703125
         1.13913e-46,            0.0071875
         1.29535e-46,           0.00734375
         1.47253e-46,               0.0075
         1.67344e-46,           0.00765625
         1.90121e-46,            0.0078125
         2.15942e-46,           0.00796875
         2.45207e-46,             0.008125
         2.78373e-46,           0.00828125
         3.15955e-46,            0.0084375
         3.58536e-46,           0.00859375
         4.06775e-46,              0.00875
         4.61421e-46,           0.00890625
         5.23317e-46,            0.0090625
         5.93421e-46,           0.00921875
         6.72815e-46,             0.009375
         7.62723e-46,           0.00953125
         8.64533e-46,            0.0096875
         9.79813e-46,           0.00984375
         1.11034e-45,                 0.01
         1.25812e-45,            0.0101562
         1.42543e-45,            0.0103125
         1.61485e-45,            0.0104687
         1.82929e-45,             0.010625
         2.07205e-45,            0.0107812
         2.34686e-45,            0.0109375
         2.65796e-45,            0.0110937
         3.01012e-45,              0.01125
         3.40878e-45,            0.0114062
         3.86007e-45,            0.0115625
         4.37094e-45,            0.0117188
         4.94925e-45,             0.011875
         5.60393e-45,            0.0120313
         6.34506e-45,            0.0121875
         7.18407e-45,            0.0123438
         8.13393e-45,               0.0125
         9.20929e-45,            0.0126563
         1.04268e-44,            0.0128125
         1.18052e-44,            0.0129688
         1.33659e-44,             0.013125
         1.51331e-44,            0.0132813
         1.71342e-44,            0.0134375
         1.94001e-44,            0.0135938
         2.19661e-44,              0.01375
         2.48722e-44,            0.0139062
         2.81634e-44,            0.0140625
         3.18911e-44,            0.0142187
         3.61133e-44,             0.014375
         4.08961e-44,            0.0145312
         4.63142e-44,            0.0146875
         5.24522e-44,            0.0148437
         5.94065e-44,                0.015
          6.7286e-44,            0.0151562
         7.62146e-44,            0.0153125
         8.63327e-44,            0.0154687
         9.77995e-44,             0.015625
         1.10796e-43,            0.0157813
         1.25527e-43,            0.0159375
         1.42227e-43,            0.0160938
         1.61158e-43,              0.01625
         1.82623e-43,            0.0164063
         2.06961e-43,            0.0165625
          2.3456e-43,            0.0167188
          2.6586e-43,             0.016875
          3.0136e-43,            0.0170313
         3.41629e-43,            0.0171875
         3.87311e-43,            0.0173438
         4.39139e-43,               0.0175
         4.97945e-43,            0.0176563
         5.64678e-43,            0.0178125
         6.40413e-43,            0.0179688
         7.26374e-43,             0.018125
         8.23952e-43,            0.0182813
          9.3473e-43,            0.0184375
         1.06051e-42,            0.0185938
         1.20333e-42,              0.01875
         1.36553e-42,            0.0189063
         1.54976e-42,            0.0190625
         1.75904e-42,            0.0192188
         1.99679e-42,             0.019375
         2.26692e-42,            0.0195313
         2.57389e-42,            0.0196875
         2.92277e-42,            0.0198438
         3.31932e-42,                 0.02
         3.77012e-42,            0.0201563
         4.28265e-42,            0.0203125
