------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
          6.7676e-10,                0.005
         8.14495e-10,             0.005625
         9.68464e-10,              0.00625
         1.14039e-09,             0.006875
         1.33216e-09,               0.0075
         1.54588e-09,             0.008125
         1.78386e-09,              0.00875
         2.04866e-09,             0.009375
         2.34311e-09,                 0.01
         2.67034e-09,             0.010625
          3.0338e-09,              0.01125
         3.43732e-09,             0.011875
         3.88512e-09,               0.0125
         4.38188e-09,             0.013125
         4.93279e-09,              0.01375
         5.54358e-09,             0.014375
         6.22061e-09,                0.015
         6.97091e-09,             0.015625
          7.8023e-09,              0.01625
         8.72342e-09,             0.016875
         9.74388e-09,               0.0175
         1.08743e-08,             0.018125
         1.21266e-08,              0.01875
         1.35139e-08,             0.019375
         1.50507e-08,                 0.02
         1.67534e-08,             0.020625
         1.86399e-08,              0.02125
         2.07304e-08,             0.021875
         2.30472e-08,               0.0225
         2.56154e-08,             0.023125
         2.84626e-08,              0.02375
         3.16199e-08,             0.024375
         3.51219e-08,                0.025
         3.90071e-08,             0.025625
         4.33188e-08,              0.02625
         4.81052e-08,             0.026875
         5.34202e-08,               0.0275
         5.93243e-08,             0.028125
         6.58851e-08,              0.02875
         7.31786e-08,             0.029375
         8.12897e-08,                 0.03
         9.03141e-08,             0.030625
         1.00359e-07,              0.03125
         1.11545e-07,             0.031875
         1.24009e-07,               0.0325
         1.37902e-07,             0.033125
         1.53398e-07,              0.03375
          1.7069e-07,             0.034375
         1.89999e-07,                0.035
         2.11573e-07,             0.035625
         2.35692e-07,              0.03625
         2.62674e-07,             0.036875
          2.9288e-07,               0.0375
         3.26718e-07,             0.038125
         3.64653e-07,              0.03875
         4.07213e-07,             0.039375
         4.54999e-07,                 0.04
         5.08696e-07,             0.040625
         5.69086e-07,              0.04125
         6.37062e-07,             0.041875
         7.13644e-07,               0.0425
         8.00004e-07,             0.043125
         8.97483e-07,              0.04375
         1.00762e-06,             0.044375
         1.13219e-06,                0.045
         1.27324e-06,             0.045625
         1.43311e-06,              0.04625
         1.61453e-06,             0.046875
         1.82064e-06,               0.0475
          2.0551e-06,             0.048125
         2.32215e-06,              0.04875
          2.6267e-06,             0.049375
          2.9745e-06,                 0.05
         3.37227e-06,             0.050625
         3.82784e-06,              0.05125
         4.35041e-06,             0.051875
          4.9508e-06,               0.0525
         5.64172e-06,             0.053125
          6.4382e-06,              0.05375
         7.35799e-06,             0.054375
         8.42219e-06,                0.055
         9.65583e-06,             0.055625
         1.10888e-05,              0.05625
         1.27569e-05,             0.056875
         1.47029e-05,               0.0575
         1.69783e-05,             0.058125
         1.96455e-05,              0.05875
         2.27798e-05,             0.059375
         2.64729e-05,                 0.06
         3.08365e-05,             0.060625
         3.60076e-05,              0.06125
         4.21547e-05,             0.061875
         4.94861e-05,               0.0625
         5.82602e-05,             0.063125
         6.87996e-05,              0.06375
         8.15089e-05,             0.064375
         9.68984e-05,                0.065
         0.000115616,             0.065625
         0.000138488,              0.06625
