------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
               1e-50,                0.005
               1e-50,                 0.01
               1e-50,                0.015
               1e-50,                 0.02
               1e-50,                0.025
               1e-50,                 0.03
               1e-50,                0.035
               1e-50,                 0.04
               1e-50,                0.045
               1e-50,                 0.05
               1e-50,                0.055
               1e-50,                 0.06
               1e-50,                0.065
               1e-50,                 0.07
               1e-50,                0.075
            0.145183,                 0.08
            0.145184,                 0.08
            0.145184,                 0.08
            0.145185,                 0.08
            0.145185,                 0.08
            0.145186,                 0.08
            0.145188,                 0.08
             0.14519,                 0.08
            0.145192,                 0.08
            0.145197,                 0.08
            0.145201,                 0.08
            0.145211,                 0.08
             0.14522,                 0.08
            0.145238,                 0.08
            0.145257,                 0.08
            0.145293,                 0.08
             0.14533,                 0.08
            0.145404,                 0.08
            0.145477,                 0.08
            0.145625,            0.0800001
            0.145772,            0.0800001
            0.146069,            0.0800001
            0.146366,            0.0800002
            0.146963,            0.0800002
            0.147564,            0.0800003
            0.148779,            0.0800005
             0.15001,            0.0800006
            0.151257,            0.0800008
            0.152521,            0.0800009
              0.1551,            0.0800012
             0.15775,            0.0800015
            0.160472,            0.0800018
            0.166146,            0.0800024
            0.172141,            0.0800031
            0.178482,            0.0800037
            0.192295,            0.0800049
            0.207804,            0.0800061
            0.225264,            0.0800073
            0.244967,            0.0800085
            0.267254,            0.0800098
             0.29251,             0.080011
            0.321171,            0.0800122
            0.353714,            0.0800134
            0.390645,            0.0800146
            0.432464,            0.0800159
            0.479614,            0.0800171
             0.53238,            0.0800183
            0.590743,            0.0800195
            0.721369,             0.080022
            0.789967,            0.0800232
            0.856359,            0.0800244
            0.915751,            0.0800256
            0.962651,            0.0800269
            0.991862,            0.0800281
             0.99975,            0.0800293
            0.985305,            0.0800305
            0.950452,            0.0800317
            0.899453,             0.080033
            0.837718,            0.0800342
            0.770582,            0.0800354
            0.702475,            0.0800366
             0.63659,            0.0800378
             0.57492,            0.0800391
            0.518496,            0.0800403
            0.467663,            0.0800415
            0.422333,            0.0800427
            0.382165,            0.0800439
            0.346699,            0.0800452
            0.315434,            0.0800464
            0.287878,            0.0800476
            0.263568,            0.0800488
            0.242091,              0.08005
            0.223078,            0.0800513
            0.206206,            0.0800525
            0.191196,            0.0800537
            0.165836,            0.0800562
            0.145447,            0.0800586
            0.128885,             0.080061
              0.1153,            0.0800635
            0.104058,            0.0800659
           0.0946789,            0.0800684
           0.0867988,            0.0800708
           0.0801372,            0.0800732
           0.0744764,            0.0800757
           0.0696456,            0.0800781
           0.0655102,            0.0800806
           0.0619628,             0.080083
           0.0589174,            0.0800854
           0.0563047,            0.0800879
           0.0521637,            0.0800928
            0.049207,            0.0800977
           0.0472166,            0.0801025
            0.046055,            0.0801074
           0.0456449,            0.0801123
           0.0459578,            0.0801172
           0.0470108,            0.0801221
           0.0488681,             0.080127
           0.0516496,            0.0801318
           0.0555474,            0.0801367
           0.0608546,            0.0801416
           0.0641674,             0.080144
           0.0680141,            0.0801465
           0.0724869,            0.0801489
           0.0777003,            0.0801514
           0.0837982,            0.0801538
           0.0909619,            0.0801563
           0.0994222,            0.0801587
            0.109475,            0.0801611
            0.121505,            0.0801636
            0.136012,             0.080166
            0.153657,            0.0801685
            0.175317,            0.0801709
            0.202162,            0.0801733
            0.217998,            0.0801746
            0.235754,            0.0801758
            0.255705,             0.080177
            0.278164,            0.0801782
            0.303487,            0.0801794
            0.332067,            0.0801807
            0.364328,            0.0801819
            0.400711,            0.0801831
            0.441646,            0.0801843
            0.487493,            0.0801855
            0.538469,            0.0801868
            0.594513,             0.080188
            0.719151,            0.0801904
            0.784555,            0.0801917
            0.848274,            0.0801929
            0.906239,            0.0801941
            0.953725,            0.0801953
            0.986076,            0.0801965
            0.999698,            0.0801978
            0.992989,             0.080199
            0.966788,            0.0802002
            0.924136,            0.0802014
             0.86945,            0.0802026
            0.807515,            0.0802039
            0.742651,            0.0802051
            0.616652,            0.0802075
            0.559277,            0.0802087
            0.506815,              0.08021
            0.459449,            0.0802112
            0.417045,            0.0802124
            0.379285,            0.0802136
            0.345761,            0.0802148
            0.316038,            0.0802161
            0.289688,            0.0802173
            0.266311,            0.0802185
            0.245544,            0.0802197
            0.227061,            0.0802209
            0.210578,            0.0802222
            0.182645,            0.0802246
            0.160117,            0.0802271
            0.141772,            0.0802295
            0.126696,            0.0802319
              0.1142,            0.0802344
             0.10376,            0.0802368
           0.0949754,            0.0802393
           0.0875385,            0.0802417
           0.0812084,            0.0802441
           0.0757961,            0.0802466
           0.0711519,             0.080249
           0.0671566,            0.0802515
           0.0637142,            0.0802539
           0.0581931,            0.0802588
           0.0541272,            0.0802637
           0.0512102,            0.0802686
           0.0492396,            0.0802734
           0.0480867,            0.0802783
           0.0476787,            0.0802832
           0.0479889,            0.0802881
           0.0490332,             0.080293
           0.0508721,            0.0802979
           0.0536179,            0.0803027
           0.0574494,            0.0803076
           0.0626374,            0.0803125
           0.0658596,            0.0803149
           0.0695862,            0.0803174
              0.0739,            0.0803198
           0.0789033,            0.0803223
           0.0847232,            0.0803247
           0.0915183,            0.0803271
           0.0994886,            0.0803296
            0.108888,             0.080332
            0.120041,            0.0803345
            0.133366,            0.0803369
            0.149407,            0.0803394
            0.168877,            0.0803418
            0.192714,            0.0803442
            0.222154,            0.0803467
            0.258823,            0.0803491
            0.304821,            0.0803516
            0.362767,             0.080354
            0.435643,            0.0803564
             0.52616,            0.0803589
            0.635016,            0.0803613
            0.757368,            0.0803638
            0.819333,             0.080365
             0.87788,            0.0803662
            0.929106,            0.0803674
            0.968818,            0.0803687
            0.993234,            0.0803699
            0.999795,            0.0803711
              0.9878,            0.0803723
             0.95859,            0.0803735
            0.915194,            0.0803748
            0.861604,             0.080376
            0.801971,            0.0803772
            0.739987,            0.0803784
            0.619664,            0.0803809
            0.513974,            0.0803833
             0.42659,            0.0803857
            0.356355,            0.0803882
            0.300485,            0.0803906
            0.256062,            0.0803931
            0.220571,            0.0803955
            0.192007,            0.0803979
            0.168823,            0.0804004
            0.149839,            0.0804028
            0.134163,            0.0804053
            0.121112,            0.0804077
            0.110167,            0.0804102
            0.100926,            0.0804126
           0.0930771,             0.080415
           0.0863751,            0.0804175
           0.0806273,            0.0804199
           0.0756801,            0.0804224
           0.0714105,            0.0804248
           0.0677192,            0.0804272
           0.0645255,            0.0804297
           0.0593809,            0.0804346
           0.0555818,            0.0804395
           0.0528629,            0.0804443
           0.0510483,            0.0804492
           0.0500265,            0.0804541
           0.0497363,             0.080459
            0.050159,            0.0804639
           0.0513162,            0.0804688
           0.0532721,            0.0804736
           0.0561408,            0.0804785
            0.060101,            0.0804834
           0.0654196,            0.0804883
           0.0687052,            0.0804907
           0.0724914,            0.0804932
           0.0768581,            0.0804956
           0.0819032,             0.080498
           0.0877476,            0.0805005
           0.0945416,            0.0805029
            0.102473,            0.0805054
            0.111778,            0.0805078
            0.122757,            0.0805103
            0.135791,            0.0805127
            0.151376,            0.0805151
            0.170147,            0.0805176
            0.192936,              0.08052
            0.220824,            0.0805225
            0.255217,            0.0805249
            0.297914,            0.0805273
             0.35115,            0.0805298
            0.417506,            0.0805322
            0.499498,            0.0805347
            0.598439,            0.0805371
            0.712023,            0.0805396
            0.771663,            0.0805408
              0.8305,             0.080542
            0.885608,            0.0805432
            0.933498,            0.0805444
            0.970504,            0.0805457
            0.993366,            0.0805469
            0.999882,            0.0805481
            0.989413,            0.0805493
            0.963036,            0.0805505
            0.923284,            0.0805518
            0.873576,             0.080553
            0.817571,            0.0805542
            0.758627,            0.0805554
            0.699482,            0.0805566
             0.58793,            0.0805591
            0.491464,            0.0805615
            0.411763,             0.080564
            0.347297,            0.0805664
            0.295536,            0.0805688
            0.253957,            0.0805713
            0.220403,            0.0805737
            0.193138,            0.0805762
            0.170814,            0.0805786
            0.152387,            0.0805811
            0.137061,            0.0805835
