------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
               1e-50,                0.005
               1e-50,                 0.01
               1e-50,                0.015
               1e-50,                 0.02
               1e-50,                0.025
               1e-50,                 0.03
               1e-50,                0.035
               1e-50,                 0.04
               1e-50,                0.045
               1e-50,                 0.05
               1e-50,                0.055
               1e-50,                 0.06
               1e-50,                0.065
               1e-50,                 0.07
               1e-50,                0.075
               1e-50,                 0.08
               1e-50,                0.085
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209418,                 0.09
           0.0209419,                 0.09
           0.0209419,                 0.09
           0.0209419,            0.0900001
           0.0209419,            0.0900001
           0.0209421,            0.0900001
           0.0209422,            0.0900002
           0.0209426,            0.0900002
           0.0209432,            0.0900003
           0.0209448,            0.0900005
           0.0209469,            0.0900006
           0.0209529,            0.0900009
           0.0209613,            0.0900012
           0.0209849,            0.0900018
           0.0210179,            0.0900024
            0.021112,            0.0900037
           0.0212442,            0.0900049
           0.0216268,            0.0900073
           0.0221764,            0.0900098
           0.0229089,            0.0900122
           0.0238464,            0.0900146
           0.0250189,            0.0900171
           0.0264661,            0.0900195
           0.0282408,             0.090022
           0.0304128,            0.0900244
           0.0330754,            0.0900269
           0.0363548,            0.0900293
           0.0404239,            0.0900317
           0.0455237,            0.0900342
           0.0485618,            0.0900354
           0.0519966,            0.0900366
           0.0558956,            0.0900378
           0.0603413,            0.0900391
           0.0654349,            0.0900403
           0.0713021,            0.0900415
           0.0780995,            0.0900427
           0.0860245,            0.0900439
           0.0953273,            0.0900452
            0.106329,            0.0900464
            0.119444,            0.0900476
            0.135213,            0.0900488
            0.154348,              0.09005
            0.177788,            0.0900513
            0.206784,            0.0900525
            0.223864,            0.0900531
            0.242992,            0.0900537
            0.264455,            0.0900543
            0.288578,            0.0900549
            0.315724,            0.0900555
            0.346288,            0.0900562
            0.380685,            0.0900568
            0.419333,            0.0900574
            0.462607,             0.090058
            0.510785,            0.0900586
             0.62182,            0.0900598
            0.747932,             0.090061
            0.812283,            0.0900616
            0.873325,            0.0900623
            0.926849,            0.0900629
             0.96828,            0.0900635
            0.993473,            0.0900641
            0.999644,            0.0900647
            0.986096,            0.0900653
            0.954412,            0.0900659
            0.908017,            0.0900665
            0.851328,            0.0900671
            0.788842,            0.0900677
            0.724463,            0.0900684
            0.600979,            0.0900696
            0.545071,            0.0900702
            0.493994,            0.0900708
            0.447861,            0.0900714
            0.406507,             0.090072
            0.369613,            0.0900726
            0.336785,            0.0900732
            0.307608,            0.0900739
            0.281677,            0.0900745
            0.258611,            0.0900751
            0.238065,            0.0900757
            0.219732,            0.0900763
            0.203339,            0.0900769
            0.175451,            0.0900781
            0.152841,            0.0900793
            0.134331,            0.0900806
            0.119035,            0.0900818
             0.10628,             0.090083
           0.0955546,            0.0900842
           0.0864637,            0.0900854
           0.0787026,            0.0900867
           0.0720319,            0.0900879
           0.0662632,            0.0900891
           0.0612461,            0.0900903
           0.0568599,            0.0900916
            0.053007,            0.0900928
           0.0496079,             0.090094
           0.0465972,            0.0900952
           0.0415345,            0.0900977
           0.0374861,            0.0901001
           0.0342175,            0.0901025
           0.0315597,             0.090105
           0.0293892,            0.0901074
           0.0276143,            0.0901099
           0.0261661,            0.0901123
           0.0249929,            0.0901147
           0.0240551,            0.0901172
           0.0233231,            0.0901196
           0.0227747,            0.0901221
           0.0221698,             0.090127
             0.02217,            0.0901318
           0.0227723,            0.0901367
            0.023316,            0.0901392
           0.0240396,            0.0901416
           0.0249635,             0.090144
           0.0261153,            0.0901465
           0.0275314,            0.0901489
           0.0292597,            0.0901514
           0.0313629,            0.0901538
           0.0339242,            0.0901563
           0.0370543,            0.0901587
            0.040903,            0.0901611
           0.0456758,            0.0901636
           0.0516591,             0.090166
           0.0552261,            0.0901672
           0.0592615,            0.0901685
           0.0638458,            0.0901697
           0.0690778,            0.0901709
           0.0750787,            0.0901721
           0.0819986,            0.0901733
           0.0900252,            0.0901746
           0.0993944,            0.0901758
            0.110406,             0.090177
            0.123442,            0.0901782
            0.138998,            0.0901794
            0.157712,            0.0901807
            0.180422,            0.0901819
             0.20822,            0.0901831
            0.242536,            0.0901843
             0.28521,            0.0901855
            0.338549,            0.0901868
            0.405258,             0.090188
            0.488039,            0.0901892
            0.588453,            0.0901904
            0.704404,            0.0901917
            0.765554,            0.0901923
            0.826038,            0.0901929
            0.882798,            0.0901935
            0.932156,            0.0901941
            0.970227,            0.0901947
            0.993551,            0.0901953
            0.999803,            0.0901959
            0.988349,            0.0901965
            0.960397,            0.0901971
            0.918699,            0.0901978
            0.866919,            0.0901984
            0.808928,             0.090199
            0.748229,            0.0901996
            0.687633,            0.0902002
             0.57412,            0.0902014
            0.476713,            0.0902026
            0.396725,            0.0902039
            0.332329,            0.0902051
            0.280802,            0.0902063
            0.239513,            0.0902075
            0.206243,            0.0902087
            0.179231,              0.09021
            0.157114,            0.0902112
            0.138846,            0.0902124
            0.123629,            0.0902136
             0.11085,            0.0902148
            0.100034,            0.0902161
           0.0908136,            0.0902173
           0.0829008,            0.0902185
           0.0760676,            0.0902197
           0.0701326,            0.0902209
           0.0649503,            0.0902222
           0.0604032,            0.0902234
           0.0563955,            0.0902246
           0.0528486,            0.0902258
           0.0496977,            0.0902271
           0.0443777,            0.0902295
           0.0401016,            0.0902319
           0.0366322,            0.0902344
           0.0337972,            0.0902368
           0.0314701,            0.0902393
           0.0295562,            0.0902417
            0.027984,            0.0902441
           0.0266992,            0.0902466
           0.0256604,             0.090249
           0.0248359,            0.0902515
           0.0242018,            0.0902539
           0.0234391,            0.0902588
           0.0232887,            0.0902637
           0.0237321,            0.0902686
            0.024812,            0.0902734
           0.0256226,            0.0902759
            0.026641,            0.0902783
           0.0278966,            0.0902808
           0.0294276,            0.0902832
           0.0312837,            0.0902856
           0.0335299,            0.0902881
           0.0362515,            0.0902905
           0.0395618,             0.090293
           0.0436127,            0.0902954
           0.0486111,            0.0902979
           0.0548436,            0.0903003
           0.0585429,            0.0903015
           0.0627146,            0.0903027
           0.0674376,             0.090304
           0.0728078,            0.0903052
           0.0789423,            0.0903064
           0.0859855,            0.0903076
            0.094116,            0.0903088
            0.103557,            0.0903101
            0.114588,            0.0903113
            0.127565,            0.0903125
             0.14294,            0.0903137
            0.161294,            0.0903149
            0.183373,            0.0903162
            0.210143,            0.0903174
            0.242846,            0.0903186
             0.28306,            0.0903198
            0.332745,             0.090321
             0.39419,            0.0903223
            0.469747,            0.0903235
            0.561064,            0.0903247
            0.667387,            0.0903259
             0.78264,            0.0903271
            0.839407,            0.0903278
             0.89212,            0.0903284
            0.937567,             0.090329
            0.972443,            0.0903296
            0.993856,            0.0903302
            0.999877,            0.0903308
            0.989954,            0.0903314
            0.965034,             0.090332
            0.927351,            0.0903326
            0.879956,            0.0903333
            0.826165,            0.0903339
            0.769089,            0.0903345
            0.654861,            0.0903357
            0.550666,            0.0903369
            0.461675,            0.0903381
            0.388207,            0.0903394
            0.328479,            0.0903406
            0.280143,            0.0903418
            0.240965,             0.090343
            0.209051,            0.0903442
            0.182877,            0.0903455
            0.161249,            0.0903467
            0.143236,            0.0903479
            0.128119,            0.0903491
            0.115337,            0.0903503
            0.104453,            0.0903516
           0.0951243,            0.0903528
           0.0870779,             0.090354
           0.0800975,            0.0903552
           0.0740094,            0.0903564
           0.0686732,            0.0903577
           0.0639744,            0.0903589
           0.0598193,            0.0903601
           0.0561308,            0.0903613
           0.0499075,            0.0903638
           0.0449076,            0.0903662
           0.0408492,            0.0903687
           0.0375283,            0.0903711
