------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.29927e-05,                0.005
         2.08184e-05,               0.0075
         2.96738e-05,                 0.01
         3.96841e-05,               0.0125
         5.09902e-05,                0.015
          6.3752e-05,               0.0175
         7.81501e-05,                 0.02
         9.43899e-05,               0.0225
         0.000112705,                0.025
          0.00013336,               0.0275
         0.000156659,                 0.03
         0.000182949,               0.0325
         0.000212626,                0.035
         0.000246147,               0.0375
         0.000284036,                 0.04
         0.000326901,               0.0425
         0.000375441,                0.045
          0.00043047,               0.0475
         0.000492936,                 0.05
         0.000563944,               0.0525
          0.00064479,                0.055
         0.000736997,               0.0575
         0.000842361,                 0.06
         0.000963013,               0.0625
          0.00110149,                0.065
          0.00126081,               0.0675
          0.00144463,                 0.07
          0.00165733,               0.0725
          0.00190425,                0.075
          0.00219192,               0.0775
          0.00252836,                 0.08
          0.00292349,               0.0825
           0.0033897,                0.085
          0.00394259,               0.0875
          0.00460195,                 0.09
          0.00539315,               0.0925
          0.00634906,                0.095
          0.00751276,               0.0975
          0.00818972,              0.09875
          0.00894148,                  0.1
          0.00977834,              0.10125
           0.0107123,               0.1025
           0.0117576,              0.10375
           0.0129308,                0.105
           0.0142517,              0.10625
           0.0157439,               0.1075
           0.0174356,              0.10875
           0.0193607,                 0.11
           0.0215604,              0.11125
           0.0240848,               0.1125
           0.0269957,              0.11375
           0.0303691,                0.115
           0.0343001,              0.11625
            0.038908,               0.1175
            0.044344,              0.11875
           0.0508017,                 0.12
           0.0585311,              0.12125
            0.067858,               0.1225
           0.0792123,              0.12375
           0.0858216,             0.124375
           0.0931661,                0.125
            0.101349,             0.125625
            0.110489,              0.12625
            0.120726,             0.126875
            0.132224,               0.1275
            0.145173,             0.128125
            0.159796,              0.12875
            0.176352,             0.129375
            0.195146,                 0.13
            0.216527,             0.130625
            0.240899,              0.13125
            0.268719,             0.131875
            0.300494,               0.1325
            0.336769,             0.133125
            0.378103,              0.13375
            0.425009,             0.134375
            0.477874,                0.135
            0.536818,             0.135625
            0.601498,              0.13625
            0.670854,             0.136875
            0.742835,               0.1375
            0.814191,             0.138125
            0.880476,              0.13875
            0.936432,             0.139375
            0.976832,                 0.14
            0.997623,             0.140625
            0.996979,              0.14125
            0.975766,             0.141875
             0.93721,               0.1425
            0.885948,             0.143125
            0.826933,              0.14375
            0.764573,             0.144375
            0.702291,                0.145
             0.58644,              0.14625
            0.488329,               0.1475
            0.408724,              0.14875
            0.345194,                 0.15
            0.294627,              0.15125
            0.254197,               0.1525
            0.221612,              0.15375
            0.195099,                0.155
             0.17331,              0.15625
            0.155227,               0.1575
            0.140078,              0.15875
            0.127272,                 0.16
            0.116358,              0.16125
            0.106984,               0.1625
           0.0988763,              0.16375
           0.0918168,                0.165
            0.085633,              0.16625
           0.0801859,               0.1675
           0.0710722,                 0.17
           0.0637979,               0.1725
           0.0578994,                0.175
            0.053051,               0.1775
           0.0490187,                 0.18
           0.0456311,               0.1825
             0.04276,                0.185
           0.0403084,               0.1875
           0.0382013,                 0.19
           0.0363804,               0.1925
           0.0347996,                0.195
           0.0322181,                  0.2
           0.0302387,                0.205
           0.0287151,                 0.21
           0.0275463,                0.215
           0.0266612,                 0.22
           0.0260083,                0.225
             0.02555,                 0.23
           0.0252588,                0.235
           0.0251141,                 0.24
           0.0251008,                0.245
            0.025208,                 0.25
           0.0254277,                0.255
           0.0257548,                 0.26
           0.0261863,                0.265
           0.0267207,                 0.27
           0.0273585,                0.275
           0.0281015,                 0.28
           0.0289526,                0.285
           0.0299165,                 0.29
           0.0309988,                0.295
           0.0322066,                  0.3
           0.0335483,                0.305
           0.0350339,                 0.31
           0.0366749,                0.315
           0.0384847,                 0.32
           0.0404783,                0.325
           0.0426731,                 0.33
           0.0450891,                0.335
           0.0477485,                 0.34
           0.0506771,                0.345
           0.0539039,                 0.35
            0.057462,                0.355
           0.0613892,                 0.36
           0.0657282,                0.365
           0.0705282,                 0.37
           0.0758448,                0.375
           0.0817418,                 0.38
           0.0882921,                0.385
           0.0955789,                 0.39
            0.103697,                0.395
            0.112757,                  0.4
            0.122881,                0.405
            0.134212,                 0.41
            0.146911,                0.415
            0.161162,                 0.42
            0.177171,                0.425
             0.19517,                 0.43
            0.215417,                0.435
            0.238193,                 0.44
            0.263801,                0.445
            0.292556,                 0.45
            0.324774,                0.455
             0.36075,                 0.46
            0.400729,                0.465
            0.444859,                 0.47
            0.493137,                0.475
            0.545337,                 0.48
            0.600932,                0.485
             0.65902,                 0.49
            0.718269,                0.495
            0.776916,                  0.5
            0.832839,                0.505
            0.883714,                 0.51
            0.927264,                0.515
             0.96155,                 0.52
            0.985234,                0.525
            0.997756,                 0.53
            0.999373,                0.535
            0.991055,                 0.54
            0.974279,                0.545
            0.950795,                 0.55
            0.922394,                0.555
            0.890745,                 0.56
             0.85729,                0.565
            0.823201,                 0.57
             0.78938,                0.575
            0.756483,                 0.58
             0.72496,                0.585
            0.695098,                 0.59
            0.667058,                0.595
            0.640908,                  0.6

