------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.28731e-05,                0.005
         5.55203e-05,              0.00625
         6.90382e-05,               0.0075
         8.34821e-05,              0.00875
          9.8911e-05,                 0.01
         0.000115388,              0.01125
         0.000132981,               0.0125
         0.000151762,              0.01375
         0.000171807,                0.015
          0.00021603,               0.0175
         0.000266381,                 0.02
         0.000323704,               0.0225
         0.000388968,                0.025
         0.000463291,               0.0275
         0.000547969,                 0.03
         0.000644501,               0.0325
         0.000754632,                0.035
         0.000880399,               0.0375
          0.00102418,                 0.04
          0.00118878,               0.0425
          0.00137747,                0.045
          0.00159416,               0.0475
          0.00184346,                 0.05
          0.00213088,               0.0525
          0.00246299,                0.055
          0.00284773,               0.0575
          0.00329467,                 0.06
          0.00381545,               0.0625
          0.00442431,                0.065
          0.00513874,               0.0675
          0.00598042,                 0.07
          0.00697642,               0.0725
          0.00816072,                0.075
          0.00957644,               0.0775
           0.0112788,                 0.08
            0.013339,               0.0825
           0.0158502,                0.085
           0.0173119,              0.08625
           0.0189355,               0.0875
            0.020743,              0.08875
           0.0227599,                 0.09
           0.0250162,              0.09125
           0.0275469,               0.0925
           0.0303936,              0.09375
           0.0336052,                0.095
           0.0372398,              0.09625
           0.0413668,               0.0975
           0.0460695,              0.09875
           0.0514481,                  0.1
           0.0576241,              0.10125
           0.0647448,               0.1025
           0.0729909,              0.10375
           0.0825836,                0.105
           0.0937961,              0.10625
            0.106966,               0.1075
            0.122514,              0.10875
            0.140961,                 0.11
            0.162954,              0.11125
            0.189295,               0.1125
            0.220964,              0.11375
            0.259137,                0.115
            0.305179,              0.11625
            0.360568,               0.1175
            0.426703,              0.11875
            0.504494,                 0.12
            0.593622,              0.12125
            0.691443,               0.1225
            0.791764,              0.12375
            0.884284,                0.125
            0.955959,              0.12625
            0.994924,               0.1275
            0.995399,              0.12875
            0.960165,                 0.13
            0.898686,              0.13125
            0.822658,               0.1325
            0.742189,              0.13375
            0.664172,                0.135
            0.592403,              0.13625
            0.528434,               0.1375
            0.472458,              0.13875
            0.423961,                 0.14
            0.382132,              0.14125
            0.346088,               0.1425
             0.31499,              0.14375
            0.288088,                0.145
            0.264733,              0.14625
            0.244378,               0.1475
            0.226561,              0.14875
            0.210901,                 0.15
            0.197076,              0.15125
            0.184822,               0.1525
            0.164174,                0.155
            0.147581,               0.1575
            0.134066,                 0.16
            0.122925,               0.1625
            0.113645,                0.165
            0.105842,               0.1675
           0.0992276,                 0.17
            0.093582,               0.1725
           0.0887339,                0.175
           0.0845492,               0.1775
           0.0809219,                 0.18
           0.0750158,                0.185
           0.0705113,                 0.19
           0.0670697,                0.195
           0.0644573,                  0.2
           0.0625089,                0.205
           0.0611058,                 0.21
           0.0601617,                0.215
           0.0596131,                 0.22
           0.0594134,                0.225
           0.0595286,                 0.23
           0.0599342,                0.235
           0.0606134,                 0.24
           0.0615553,                0.245
           0.0627545,                 0.25
           0.0642094,                0.255
           0.0659227,                 0.26
           0.0679004,                0.265
           0.0701518,                 0.27
           0.0726895,                0.275
           0.0755291,                 0.28
           0.0786897,                0.285
           0.0821936,                 0.29
           0.0860668,                0.295
            0.090339,                  0.3
            0.095044,                0.305
             0.10022,                 0.31
            0.105911,                0.315
            0.112164,                 0.32
            0.119035,                0.325
            0.126583,                 0.33
            0.134878,                0.335
            0.143993,                 0.34
            0.154013,                0.345
            0.165028,                 0.35
            0.177141,                0.355
            0.190462,                 0.36
            0.205111,                0.365
            0.221217,                 0.37
            0.238917,                0.375
            0.258357,                 0.38
            0.279684,                0.385
            0.303047,                 0.39
            0.328589,                0.395
            0.356443,                  0.4
            0.386714,                0.405
            0.419476,                 0.41
            0.454749,                0.415
            0.492485,                 0.42
            0.532543,                0.425
            0.574674,                 0.43
            0.618497,                0.435
            0.663488,                 0.44
            0.708973,                0.445
            0.754138,                 0.45
            0.798055,                0.455
            0.839724,                 0.46
            0.878134,                0.465
            0.912335,                 0.47
            0.941511,                0.475
            0.965046,                 0.48
            0.982568,                0.485
            0.993971,                 0.49
            0.999406,                0.495
            0.999252,                  0.5

